chr,strand,gene_locus,gene_id,gene_name,gene_biotype,polyA_sites_in_gene,proximal_pos,proximal_feature,proximal_exp,distal_pos,distal_feature,distal_exp,proximal_fc,distal_fc,proximal_perc_inc,distal_perc_inc,proximal_padj,distal_padj,pair_type,gene_class
12,+,chr12:110280755-110351092,ENSG00000174437,ATP2A2,protein_coding,2,110347310,utr3,178966,110351089,utr3,55593,0.54342,-0.54739,0.63,0.45,0,0,same,enhanced
3,-,chr3:177019339-177227999,ENSG00000177565,TBL1XR1,protein_coding,2,177024446,utr3,10156,177020754,utr3,146679,0.44562,-0.39522,0.7,0.54,0,0,same,enhanced
3,-,chr3:57571362-57598219,ENSG00000168374,ARF4,protein_coding,2,57572075,utr3,19750,57571364,utr3,335884,0.49431,-0.47644,0.68,0.52,0,0,same,enhanced
3,+,chr3:33798351-33869706,ENSG00000170248,PDCD6IP,protein_coding,2,33867004,utr3,60049,33869701,utr3,35638,0.30017,-0.30622,0.49,0.38,0,0,same,enhanced
1,-,chr1:156463726-156500827,ENSG00000116604,MEF2D,protein_coding,2,156466217,utr3,29746,156463727,utr3,128869,0.54768,-0.53683,0.51,0.33,0,0,same,enhanced
1,-,chr1:154697454-154870279,ENSG00000143603,KCNN3,protein_coding,2,154707949,utr3,957,154697476,utr3,1091,1.33609,-1.24897,0.85,0.47,0,0,same,enhanced
1,-,chr1:9848275-9910335,ENSG00000178585,CTNNBIP1,protein_coding,2,9850109,utr3,16534,9848275,utr3,31637,0.69121,-0.68099,0.65,0.42,0,0,same,enhanced
4,-,chr4:119296418-119304444,ENSG00000164096,C4orf3,protein_coding,2,119298490,utr3,235837,119297054,utr3,73415,0.4582,-0.46256,0.57,0.41,0,0,same,enhanced
3,-,chr3:149369021-149377864,ENSG00000169908,TM4SF1,protein_coding,2,149369671,utr3,42090,149369022,utr3,134419,0.41925,-0.41366,0.54,0.43,0,0,same,enhanced
5,-,chr5:151661095-151687164,ENSG00000113140,SPARC,protein_coding,2,151662442,utr3,723198,151661442,utr3,232428,0.56262,-0.56401,0.61,0.42,0,0,same,enhanced
16,+,chr16:1308879-1327017,ENSG00000103275,UBE2I,protein_coding,2,1325346,utr3,76645,1327015,utr3,18491,0.62671,-0.64448,0.59,0.37,0,0,same,enhanced
X,-,chrX:7898246-7927738,ENSG00000006757,PNPLA4,protein_coding,2,7900663,utr3,9357,7898892,utr3,2167,0.49409,-0.60657,0.6,0.41,0,0,same,enhanced
1,-,chr1:1785284-1891116,ENSG00000078369,GNB1,protein_coding,2,1786756,utr3,23263,1785286,utr3,150301,0.47264,-0.44841,0.62,0.47,0,0,same,enhanced
11,-,chr11:64784913-64803240,ENSG00000168067,MAP4K2,protein_coding,2,64789137,utr3,5496,64784919,utr3,7098,0.65099,-0.64829,0.43,0.23,0,0,same,enhanced
7,+,chr7:55951818-55956500,ENSG00000239789,MRPS17,protein_coding,2,55955258,utr3,7579,55956499,utr3,7565,0.57987,-0.58025,0.68,0.49,0,0,same,enhanced
X,+,chrX:116436621-116461457,ENSG00000268104,SLC6A14,protein_coding,2,116459122,utr3,13047,116461455,utr3,80570,0.78755,-0.75039,0.68,0.39,0,0,same,enhanced
1,+,chr1:224356849-224379458,ENSG00000143771,CNIH4,protein_coding,2,224375995,utr3,62158,224379440,utr3,11284,0.43024,-0.46189,0.56,0.41,0,0,same,enhanced
4,-,chr4:76158732-76234535,ENSG00000138760,SCARB2,protein_coding,2,76161453,utr3,56357,76158740,utr3,174083,0.32459,-0.31864,0.54,0.43,0,0,same,enhanced
2,+,chr2:111119377-111168446,ENSG00000153094,BCL2L11,protein_coding,2,111164629,utr3,3853,111168443,utr3,34202,0.76579,-0.6393,0.78,0.57,0,0,same,enhanced
X,-,chrX:112774502-112840814,ENSG00000126016,AMOT,protein_coding,2,112775657,utr3,792,112774877,utr3,6411,1.50212,-1.12981,0.83,0.45,0,0,same,enhanced
3,-,chr3:129127414-129161292,ENSG00000240682,ISY1,protein_coding,2,129129185,utr3,19276,129127415,utr3,2993,0.53431,-0.63347,0.56,0.36,0,0,same,enhanced
21,-,chr21:14371114-14383483,ENSG00000155304,HSPA13,protein_coding,2,14372798,utr3,3056,14371117,utr3,34117,0.55656,-0.40558,0.68,0.52,0,0,same,enhanced
5,+,chr5:72816311-72916732,ENSG00000083312,TNPO1,protein_coding,2,72910328,utr3,22667,72914386,utr3,77819,0.61287,-0.59545,0.67,0.48,0,0,same,enhanced
9,+,chr9:33025210-33039906,ENSG00000086061,DNAJA1,protein_coding,2,33039065,utr3,62467,33039898,utr3,43922,0.37641,-0.37934,0.51,0.38,0,0,same,enhanced
X,+,chrX:11111300-11123077,ENSG00000004961,HCCS,protein_coding,2,11121877,utr3,11206,11123073,utr3,23963,0.44791,-0.42502,0.62,0.47,0,0,same,enhanced
2,-,chr2:38813-46869,ENSG00000184731,FAM110C,protein_coding,2,41220,utr3,1505,38815,utr3,8312,0.63887,-0.44986,0.77,0.61,0,0,same,enhanced
12,+,chr12:88033845-88050159,ENSG00000133641,C12orf29,protein_coding,2,88048447,utr3,5165,88050158,utr3,3762,0.58551,-0.60936,0.65,0.46,0,0,same,enhanced
5,-,chr5:41730064-41870518,ENSG00000083720,OXCT1,protein_coding,2,41731532,utr3,6356,41730065,utr3,18753,0.6932,-0.6446,0.73,0.53,0,0,same,enhanced
