chr,strand,gene_locus,gene_id,gene_name,gene_biotype,polyA_sites_in_gene,proximal_pos,proximal_feature,proximal_exp,distal_pos,distal_feature,distal_exp,proximal_control_sum,distal_control_sum,proximal_test_sum,distal_test_sum,proximal_fc,distal_fc,proximal_perc_inc,distal_perc_inc,proximal_padj,distal_padj,pair_type,gene_class
1,-,chr1:229516581-229558694,ENSG00000135776,ABCB10,protein_coding,2,229516843,utr3,1925,229516582,utr3,11183,918,4654,1007,6529,0.2152,-0.12959,0.48,0.42,0.07699,0.07414,same,control_down
1,+,chr1:94418454-94518665,ENSG00000117528,ABCD3,protein_coding,2,94478720,utr3,1159,94518661,utr3,11187,524,4778,635,6409,0.0618,-0.04749,0.45,0.43,0.77486,0.77278,skipped,control_down
1,-,chr1:179099326-179229683,ENSG00000143322,ABL2,protein_coding,2,179107614,utr3,3250,179099332,utr3,21121,1822,9515,1428,11606,0.34932,-0.29097,0.56,0.45,0.03583,0.03512,same,enhanced
1,-,chr1:85482280-85578249,ENSG00000282057,AC092807.3,lincRNA,2,85487529,intron,434,85482293,exon,1532,255,769,179,763,0.19607,-0.18993,0.59,0.5,0.24421,0.25522,composite,control_down
1,+,chr1:101025877-101087267,ENSG00000233184,AC093157.1,antisense_RNA,2,101044158,intron,700,101087260,exon,4979,380,2253,320,2726,0.39062,-0.25766,0.54,0.45,0.04137,0.03953,composite,enhanced
1,+,chr1:201507240-201534783,ENSG00000224536,AC096677.1,antisense_RNA,2,201533604,exon,363,201534777,exon,800,250,484,113,316,0.24311,-0.18636,0.69,0.6,0.04524,0.04208,same,enhanced
1,+,chr1:42775747-42794492,ENSG00000283580,AC098484.3,protein_coding,2,42776608,intron,958,42781979,intron,786,464,345,494,441,0.12985,-0.14188,0.48,0.44,0.33449,0.33652,skipped,control_down
1,-,chr1:202851827-202861619,ENSG00000214796,AC098934.1,transcribed_unprocessed_pseudogene,2,202857447,intron,481,202852887,exon,956,359,618,122,338,0.32806,-0.2341,0.75,0.65,0.53178,0.5223,composite,control_down
1,-,chr1:34974355-34981531,ENSG00000241014,AC114490.1,processed_transcript,2,34975699,exon,4899,34974358,exon,492,2207,186,2692,306,0.22328,-0.36894,0.45,0.38,0.23453,0.2446,same,control_down
1,+,chr1:223992742-224010611,ENSG00000185495,AC138393.1,transcribed_unprocessed_pseudogene,2,223998065,intron,5565,224010606,exon,1141,3689,615,1876,526,0.3888,-0.48506,0.66,0.54,0.00968,0.01022,composite,enhanced
1,+,chr1:148402515-148432544,ENSG00000231551,AC245100.4,transcribed_unprocessed_pseudogene,2,148402957,intron,552,148432544,exon,291,361,109,191,182,1.3557,-1.43848,0.65,0.37,0.93698,0.93698,skipped,control_down
1,+,chr1:75724346-75786195,ENSG00000117054,ACADM,protein_coding,2,75763495,utr3,24001,75763675,utr3,1568,10815,579,13186,989,0.20845,-0.292,0.45,0.37,0.19433,0.19781,same,control_down
1,-,chr1:1292375-1309608,ENSG00000131584,ACAP3,protein_coding,2,1292870,utr3,1742,1292391,utr3,727,860,431,882,296,-0.26968,0.3804,0.49,0.59,0.03913,0.04137,same,repressed
1,+,chr1:54542256-54639191,ENSG00000162390,ACOT11,protein_coding,2,54610123,utr3,2431,54610326,utr3,650,1685,480,746,170,-0.13509,0.21359,0.69,0.74,0.51174,0.51765,same,control_up
1,-,chr1:6264268-6394390,ENSG00000097021,ACOT7,protein_coding,2,6309511,intron,492,6264272,utr3,4952,301,2550,191,2402,0.28971,-0.19707,0.61,0.51,0.55987,0.55373,composite,control_down
1,+,chr1:236686453-236764630,ENSG00000077522,ACTN2,protein_coding,2,236763193,utr3,755,236764537,utr3,457,130,70,625,387,0.07341,-0.09505,0.17,0.15,0.84219,0.84576,same,control_down
1,+,chr1:150549368-150560936,ENSG00000143382,ADAMTSL4,protein_coding,2,150558744,utr3,920,150560925,utr3,1728,257,481,663,1247,0.06561,-0.04836,0.28,0.28,0.5276,0.52545,skipped,control_down
1,-,chr1:150560201-150574549,ENSG00000203804,ADAMTSL4-AS1,processed_transcript,2,150572331,intron,1589,150565228,intron,28793,584,5788,1005,23005,0.52369,-0.47484,0.37,0.2,0.04212,0.04117,composite,enhanced
1,-,chr1:202940822-202958571,ENSG00000159346,ADIPOR1,protein_coding,2,202942888,intron,1831,202940834,utr3,23619,664,10511,1167,13108,-0.31857,0.24701,0.36,0.45,0.04197,0.04088,composite,repressed
1,-,chr1:244408493-244452133,ENSG00000035687,ADSS,protein_coding,2,244408848,utr3,44832,244408494,utr3,24064,22987,13236,21845,10828,-0.09034,0.09217,0.51,0.55,0.81906,0.81906,same,control_up
1,-,chr1:230702522-230714296,ENSG00000135744,AGT,protein_coding,2,230702729,utr3,11213,230702538,utr3,4693,7373,2973,3840,1720,0.06222,-0.06737,0.66,0.63,0.70547,0.70617,same,control_down
1,+,chr1:11736083-11754801,ENSG00000177674,AGTRAP,protein_coding,2,11750767,utr3,17444,11754791,exon,953,10258,316,7186,637,0.52568,-0.73716,0.59,0.33,0.00005,0.00007,skipped,enhanced
1,+,chr1:109984685-110023740,ENSG00000168710,AHCYL1,protein_coding,2,110005752,intron,9689,110023740,utr3,82298,4751,36201,4938,46097,0.10255,-0.09846,0.49,0.44,0.32149,0.32115,composite,control_down
1,-,chr1:222668012-222713209,ENSG00000186063,AIDA,protein_coding,2,222669970,exon,894,222668014,utr3,15224,571,6685,323,8539,0.58102,-0.55225,0.64,0.44,0.0565,0.0565,same,control_down
1,-,chr1:33007939-33080995,ENSG00000004455,AK2,protein_coding,2,33013044,utr3,88532,33008882,utr3,27508,53210,11121,35322,16387,0.57261,-0.58596,0.6,0.4,0,0,skipped,enhanced
1,+,chr1:65147548-65232144,ENSG00000162433,AK4,protein_coding,2,65228714,utr3,2860,65232134,utr3,15286,2235,11288,625,3998,-0.00603,0.00535,0.78,0.74,0.14872,0.14785,same,control_up
1,-,chr1:243488232-243851078,ENSG00000117020,AKT3,protein_coding,2,243501763,utr3,7225,243499724,utr3,36662,2839,9780,4386,26882,0.36836,-0.34539,0.39,0.27,0.00279,0.00275,same,enhanced
1,+,chr1:77067919-77078481,ENSG00000230498,AL035409.1,antisense_RNA,2,77070420,intron,430,77072028,intron,2144,123,516,307,1628,0.20472,-0.13558,0.29,0.24,0.70013,0.68358,composite,control_down
1,+,chr1:19210500-19240703,ENSG00000230424,AL035413.1,antisense_RNA,2,19213716,intron,3258,19240695,exon,761,2322,374,936,387,0.55266,-0.69709,0.71,0.49,0.83621,0.83884,composite,control_down
1,+,chr1:32170732-32176567,ENSG00000250135,AL049795.2,sense_intronic,2,32173167,intron,38263,32176562,exon,48000,20373,21869,17890,26131,0.21962,-0.21907,0.53,0.46,0.01293,0.01292,composite,enhanced
1,-,chr1:160202198-160208868,ENSG00000227741,AL121987.2,antisense_RNA,2,160206028,exon,288,160202198,exon,334,102,125,186,209,-0.05717,0.05163,0.35,0.37,0.92089,0.91859,skipped,control_up
1,-,chr1:193090865-193091555,ENSG00000272579,AL136370.1,antisense_RNA,2,193091023,exon,1070,193090865,exon,1164,441,449,629,715,0.09529,-0.0924,0.41,0.39,0.53934,0.53893,same,control_down
1,+,chr1:38859999-38919395,ENSG00000228436,AL139260.1,antisense_RNA,2,38864583,intron,334,38865006,intron,551,166,289,168,262,-0.05378,0.04787,0.5,0.52,0.98797,0.98797,composite,control_up
1,-,chr1:38859823-38862962,ENSG00000273637,AL139260.2,processed_transcript,2,38862496,intron,1041,38860699,intron,297,511,103,530,194,0.2964,-0.44481,0.49,0.35,0.09377,0.10137,skipped,control_down
1,-,chr1:234372806-234373592,ENSG00000231663,AL355472.1,antisense_RNA,2,234372968,exon,2119,234372807,exon,727,1210,397,909,330,0.05477,-0.07698,0.57,0.55,0.91928,0.92428,same,control_down
1,-,chr1:110286374-110339170,ENSG00000227963,AL355488.1,antisense_RNA,2,110315502,intron,286,110315033,intron,343,143,218,143,125,-0.29957,0.27323,0.5,0.64,0.61688,0.61196,composite,control_up
1,-,chr1:39522279-39546186,ENSG00000182109,AL365277.1,antisense_RNA,2,39539690,intron,632,39522285,exon,605,300,257,332,348,-0.00298,0.00307,0.47,0.42,0.34503,0.34503,composite,control_up
1,-,chr1:110653559-110657039,ENSG00000259834,AL365361.1,lincRNA,2,110655415,exon,318,110655283,exon,536,138,187,180,349,0.26526,-0.21204,0.43,0.35,0.22378,0.20544,same,control_down
1,-,chr1:247187280-247188525,ENSG00000259865,AL390728.6,lincRNA,2,247187421,exon,4053,247187281,exon,22545,2295,9073,1758,13472,0.46696,-0.46049,0.57,0.4,0.11281,0.11281,same,control_down
1,-,chr1:231522387-231528555,ENSG00000233461,AL445524.1,antisense_RNA,2,231527108,exon,524,231522460,exon,6690,356,5149,168,1541,-0.41816,0.24023,0.68,0.77,0.09926,0.09083,skipped,control_up
1,-,chr1:160024952-160026793,ENSG00000260766,AL513302.2,sense_overlapping,2,160025700,exon,645,160025014,exon,2033,329,956,316,1077,0.1546,-0.11441,0.51,0.47,0.74743,0.74275,same,control_down
1,-,chr1:90782982-90851656,ENSG00000233593,AL590094.1,processed_transcript,2,90831874,exon,913,90782985,exon,750,559,386,354,364,0.24027,-0.24627,0.61,0.51,0.34899,0.34899,skipped,control_down
1,+,chr1:242147513-242203553,ENSG00000272865,AL591686.2,antisense_RNA,2,242171706,intron,560,242185443,intron,531,72,93,488,438,-0.3119,0.31413,0.13,0.18,0.50619,0.50821,composite,control_up
1,-,chr1:586070-827795,ENSG00000230021,AL669831.3,transcribed_processed_pseudogene,2,793529,intron,851,791648,intron,457,374,274,477,183,-0.41415,0.49236,0.44,0.6,0.28912,0.29578,skipped,control_up
1,+,chr1:21509371-21578411,ENSG00000162551,ALPL,protein_coding,2,21553057,intron,4943,21578401,utr3,30063,1226,7874,3717,22189,-0.08928,0.0848,0.25,0.26,0.27158,0.27098,composite,control_up
1,-,chr1:109504174-109509737,ENSG00000181754,AMIGO1,protein_coding,2,109506824,utr3,683,109504178,utr3,3869,301,1150,382,2719,0.55856,-0.35672,0.44,0.3,0.00032,0.00026,same,enhanced
1,+,chr1:103553814-103579533,ENSG00000240038,AMY2B,protein_coding,2,103556118,intron,1376,103579422,utr3,1291,596,479,780,812,0.09919,-0.10345,0.43,0.37,0.69916,0.70013,composite,control_down
1,-,chr1:16215908-16228026,ENSG00000237276,ANO7L1,transcribed_unprocessed_pseudogene,2,16223930,intron,278,16221460,intron,575,127,270,151,305,-0.05484,0.04111,0.46,0.47,0.85978,0.847,composite,control_up
1,-,chr1:150218416-150236155,ENSG00000143401,ANP32E,protein_coding,2,150220378,utr3,11994,150218424,utr3,39201,8246,21330,3748,17871,0.42936,-0.39619,0.69,0.54,0.00001,0.00001,same,enhanced
